season,season_type,full_player_name,abbr_player_name,team,position,gsis_id
2011,reg,A.J. Feeley,A.Feeley,STL,QB,00-0020305
2011,reg,A.J. Green,A.Green,CIN,WR,00-0027942
2011,reg,Aaron Brown,A.Brown,DET,RB,00-0027129
2011,reg,Aaron Hernandez,A.Hernandez,NE,TE,00-0027713
2011,reg,Aaron Rodgers,A.Rodgers,GB,QB,00-0023459
2011,reg,Adrian Arrington,A.Arrington,NO,WR,00-0026377
2011,reg,Adrian Peterson,A.Peterson,MIN,RB,00-0025394
2011,reg,Ahmad Bradshaw,A.Bradshaw,NYG,RB,00-0025637
2011,reg,Ahmard Hall,A.Hall,TEN,FB,00-0024489
2011,reg,Alex Green,A.Green,GB,RB,00-0028034
2011,reg,Alex Smith,A.Smith,CLE,TE,00-0023506
2011,reg,Alex Smith,A.Smith,SF,QB,00-0023436
2011,reg,Alfonso Smith,A.Smith,ARI,RB,00-0027346
2011,reg,Allen Reisner,A.Reisner,MIN,TE,00-0028267
2011,reg,Andre Caldwell,A.Caldwell,CIN,WR,00-0026237
2011,reg,Andre Johnson,A.Johnson,HOU,WR,00-0022044
2011,reg,Andre Roberts,A.Roberts,ARI,WR,00-0027691
2011,reg,Andrew Hawkins,A.Hawkins,CIN,WR,00-0027918
2011,reg,Andrew Quarless,A.Quarless,GB,TE,00-0027753
2011,reg,Andy Dalton,A.Dalton,CIN,QB,00-0027973
2011,reg,Anquan Boldin,A.Boldin,BAL,WR,00-0022084
2011,reg,Anthony Allen,A.Allen,BAL,RB,00-0028163
2011,reg,Anthony Armstrong,A.Armstrong,WAS,WR,00-0026465
2011,reg,Anthony Becht,A.Becht,KC,TE,00-0019457
2011,reg,Anthony Dixon,A.Dixon,SF,RB,00-0027772
2011,reg,Anthony Fasano,A.Fasano,MIA,TE,00-0024268
2011,reg,Anthony Gonzalez,A.Gonzalez,IND,WR,00-0025419
2011,reg,Anthony Hill,A.Hill,IND,TE,00-0026908
2011,reg,Anthony McCoy,A.McCoy,SEA,TE,00-0027783
2011,reg,Anthony Sherman,A.Sherman,ARI,FB,00-0028074
2011,reg,Antonio Brown,A.Brown,PIT,WR,00-0027793
2011,reg,Antonio Gates,A.Gates,SD,TE,00-0021547
2011,reg,Arian Foster,A.Foster,HOU,RB,00-0026796
2011,reg,Armando Allen,A.Allen,CHI,RB,00-0028565
2011,reg,Armond Smith,A.Smith,CLE,RB,00-0028706
2011,reg,Arnaz Battle,A.Battle,PIT,WR,00-0022064
2011,reg,Arrelious Benn,A.Benn,TB,WR,00-0027654
2011,reg,Austin Collie,A.Collie,IND,WR,00-0027092
2011,reg,Austin Pettis,A.Pettis,STL,WR,00-0028016
2011,reg,Beanie Wells,B.Wells,ARI,RB,00-0027007
2011,reg,Bear Pascoe,B.Pascoe,NYG,TE,00-0026931
2011,reg,Ben Obomanu,B.Obomanu,SEA,WR,00-0024463
2011,reg,Ben Roethlisberger,B.Roethlisberger,PIT,QB,00-0022924
2011,reg,Ben Tate,B.Tate,HOU,RB,00-0027890
2011,reg,Benjamin Watson,B.Watson,CLE,TE,00-0022943
2011,reg,BenJarvus Green-Ellis,B.Green-Ellis,NE,RB,00-0025860
2011,reg,Bernard Berrian,B.Berrian,MIN,WR,00-0022807
2011,reg,Bernard Scott,B.Scott,CIN,RB,00-0026941
2011,reg,Bilal Powell,B.Powell,NYJ,RB,00-0028064
2011,reg,Billy Bajema,B.Bajema,STL,TE,00-0023679
2011,reg,Blaine Gabbert,B.Gabbert,JAC,QB,00-0027948
2011,reg,Brad Smith,B.Smith,BUF,WR,00-0024318
2011,reg,Brandon Banks,B.Banks,WAS,WR,00-0027618
2011,reg,Brandon Gibson,B.Gibson,STL,WR,00-0026937
2011,reg,Brandon Jacobs,B.Jacobs,NYG,RB,00-0023545
2011,reg,Brandon LaFell,B.LaFell,CAR,WR,00-0027681
2011,reg,Brandon Lloyd,B.Lloyd,STL,WR,00-0022097
2011,reg,Brandon Marshall,B.Marshall,MIA,WR,00-0024334
2011,reg,Brandon Myers,B.Myers,OAK,TE,00-0027135
2011,reg,Brandon Pettigrew,B.Pettigrew,DET,TE,00-0026996
2011,reg,Brandon Saine,B.Saine,GB,RB,00-0028602
2011,reg,Brandon Stokley,B.Stokley,NYG,WR,00-0015754
2011,reg,Braylon Edwards,B.Edwards,SF,WR,00-0023438
2011,reg,Brent Celek,B.Celek,PHI,TE,00-0025549
2011,reg,Brett Swain,B.Swain,SF,WR,00-0026357
2011,reg,Brian Hartline,B.Hartline,MIA,WR,00-0027077
2011,reg,Brian Hoyer,B.Hoyer,NE,QB,00-0026625
2011,reg,Brian Leonard,B.Leonard,CIN,RB,00-0025439
2011,reg,Brit Miller,B.Miller,STL,FB,00-0026712
2011,reg,Brock Bolen,B.Bolen,JAC,RB,00-0026607
2011,reg,Brody Eldridge,B.Eldridge,IND,TE,00-0027761
2011,reg,Bruce Gradkowski,B.Gradkowski,CIN,QB,00-0024408
2011,reg,Bruce Miller,B.Miller,SF,FB,00-0028149
2011,reg,Bryan Walters,B.Walters,SD,WR,00-0027595
2011,reg,Bryant Johnson,B.Johnson,HOU,WR,00-0022156
2011,reg,C.J. Spiller,C.Spiller,BUF,RB,00-0027861
2011,reg,Cadillac Williams,C.Williams,STL,RB,00-0023440
2011,reg,Caleb Hanie,C.Hanie,CHI,QB,00-0025970
2011,reg,Calvin Johnson,C.Johnson,DET,WR,00-0025389
2011,reg,Cam Newton,C.Newton,CAR,QB,00-0027939
2011,reg,Cameron Morrah,C.Morrah,SEA,TE,00-0026963
2011,reg,Carlton Mitchell,C.Mitchell,CLE,WR,00-0027776
2011,reg,Carson Palmer,C.Palmer,OAK,QB,00-0021429
2011,reg,Cecil Shorts,C.Shorts,JAC,WR,00-0028052
2011,reg,Cedric Benson,C.Benson,CIN,RB,00-0023439
2011,reg,Cedric Peerman,C.Peerman,CIN,RB,00-0026932
2011,reg,Chad Hall,C.Hall,PHI,WR,00-0027188
2011,reg,Chad Henne,C.Henne,MIA,QB,00-0026197
2011,reg,Chad Johnson,C.Johnson,NE,WR,00-0020397
2011,reg,Chansi Stuckey,C.Stuckey,ARI,WR,00-0025622
2011,reg,Charlie Batch,C.Batch,PIT,QB,00-0000865
2011,reg,Charlie Whitehurst,C.Whitehurst,SEA,QB,00-0024296
2011,reg,Chase Daniel,C.Daniel,NO,QB,00-0026544
2011,reg,Chastin West,C.West,JAC,WR,00-0027441
2011,reg,Chauncey Washington,C.Washington,DAL,RB,00-0026353
2011,reg,Chaz Schilens,C.Schilens,OAK,WR,00-0026366
2011,reg,Chester Taylor,C.Taylor,ARI,RB,00-0021314
2011,reg,Chris Cooley,C.Cooley,WAS,TE,00-0022738
2011,reg,Chris Ivory,C.Ivory,NO,RB,00-0027531
2011,reg,Chris Johnson,C.Johnson,TEN,RB,00-0026164
2011,reg,Chris Ogbonnaya,C.Ogbonnaya,CLE,RB,00-0027140
2011,reg,Chris Redman,C.Redman,ATL,QB,00-0019709
2011,reg,Christian Ponder,C.Ponder,MIN,QB,00-0027950
2011,reg,Clay Harbor,C.Harbor,PHI,TE,00-0027725
2011,reg,Clyde Gates,C.Gates,MIA,WR,00-0028049
2011,reg,Colin Cloherty,C.Cloherty,JAC,TE,00-0026669
2011,reg,Colin Cochart,C.Cochart,CIN,TE,00-0028550
2011,reg,Colin Kaepernick,C.Kaepernick,SF,QB,00-0027974
2011,reg,Collin Franklin,C.Franklin,TB,TE,00-0028295
2011,reg,Colt McCoy,C.McCoy,CLE,QB,00-0027688
2011,reg,Craig Stevens,C.Stevens,TEN,TE,00-0026225
2011,reg,Curtis Brinkley,C.Brinkley,SD,RB,00-0026745
2011,reg,Curtis Painter,C.Painter,IND,QB,00-0027134
2011,reg,D.J. Ware,D.Ware,NYG,RB,00-0024559
2011,reg,D.J. Williams,D.Williams,GB,TE,00-0028079
2011,reg,Da'Rel Scott,D.Scott,NYG,RB,00-0028159
2011,reg,Dallas Clark,D.Clark,IND,TE,00-0022165
2011,reg,Damian Williams,D.Williams,TEN,WR,00-0027893
2011,reg,Dan Orlovsky,D.Orlovsky,IND,QB,00-0023578
2011,reg,Danario Alexander,D.Alexander,STL,WR,00-0027912
2011,reg,Dane Sanzenbacher,D.Sanzenbacher,CHI,WR,00-0028352
2011,reg,Daniel Fells,D.Fells,DEN,TE,00-0023752
2011,reg,Daniel Graham,D.Graham,TEN,TE,00-0021154
2011,reg,Daniel Thomas,D.Thomas,MIA,RB,00-0028000
2011,reg,Danny Amendola,D.Amendola,STL,WR,00-0026035
2011,reg,Danny Woodhead,D.Woodhead,NE,RB,00-0026019
2011,reg,Dante Rosario,D.Rosario,DEN,TE,00-0025542
2011,reg,Darrel Young,D.Young,WAS,FB,00-0026852
2011,reg,Darren McFadden,D.McFadden,OAK,RB,00-0026144
2011,reg,Darren Sproles,D.Sproles,NO,RB,00-0023564
2011,reg,Darrius Heyward-Bey,D.Heyward-Bey,OAK,WR,00-0026983
2011,reg,David Anderson,D.Anderson,WAS,WR,00-0024465
2011,reg,David Ausberry,D.Ausberry,OAK,TE,00-0028179
2011,reg,David Johnson,D.Johnson,PIT,TE,00-0026957
2011,reg,David Nelson,D.Nelson,BUF,WR,00-0027322
2011,reg,David Reed,D.Reed,BAL,WR,00-0027755
2011,reg,David Thomas,D.Thomas,NO,TE,00-0024301
2011,reg,Davone Bess,D.Bess,MIA,WR,00-0026000
2011,reg,DeAngelo Williams,D.Williams,CAR,RB,00-0024242
2011,reg,Deion Branch,D.Branch,NE,WR,00-0021192
2011,reg,Deji Karim,D.Karim,JAC,RB,00-0027779
2011,reg,Delanie Walker,D.Walker,SF,TE,00-0024389
2011,reg,Delone Carter,D.Carter,IND,RB,00-0028057
2011,reg,DeMarco Murray,D.Murray,DAL,RB,00-0028009
2011,reg,DeMarco Sampson,D.Sampson,ARI,WR,00-0028187
2011,reg,Demaryius Thomas,D.Thomas,DEN,WR,00-0027874
2011,reg,Denarius Moore,D.Moore,OAK,WR,00-0028086
2011,reg,Dennis Pitta,D.Pitta,BAL,TE,00-0027714
2011,reg,Deon Butler,D.Butler,SEA,WR,00-0027063
2011,reg,Derek Hagan,D.Hagan,BUF,WR,00-0024297
2011,reg,Derrick Mason,D.Mason,HOU,WR,00-0010500
2011,reg,Derrick Ward,D.Ward,HOU,RB,00-0022770
2011,reg,DeSean Jackson,D.Jackson,PHI,WR,00-0026189
2011,reg,Devery Henderson,D.Henderson,NO,WR,00-0022929
2011,reg,Devin Aromashodu,D.Aromashodu,MIN,WR,00-0024447
2011,reg,Devin Hester,D.Hester,CHI,WR,00-0024272
2011,reg,Devin Thomas,D.Thomas,NYG,WR,00-0026174
2011,reg,Dexter McCluster,D.McCluster,KC,RB,00-0027651
2011,reg,Dez Bryant,D.Bryant,DAL,WR,00-0027902
2011,reg,Dezmon Briscoe,D.Briscoe,TB,WR,00-0027789
2011,reg,Dion Lewis,D.Lewis,PHI,RB,00-0028087
2011,reg,Domenik Hixon,D.Hixon,NYG,WR,00-0024345
2011,reg,Dominique Byrd,D.Byrd,WAS,TE,00-0024308
2011,reg,Donald Brown,D.Brown,IND,RB,00-0027003
2011,reg,Donald Driver,D.Driver,GB,WR,00-0004541
2011,reg,Donald Jones,D.Jones,BUF,WR,00-0027518
2011,reg,Donald Lee,D.Lee,CIN,TE,00-0021929
2011,reg,Donnie Avery,D.Avery,TEN,WR,00-0026173
2011,reg,Donovan McNabb,D.McNabb,MIN,QB,00-0011022
2011,reg,Donte' Stallworth,D.Stallworth,WAS,WR,00-0021147
2011,reg,Doug Baldwin,D.Baldwin,SEA,WR,00-0028434
2011,reg,Drew Brees,D.Brees,NO,QB,00-0020531
2011,reg,DuJuan Harris,D.Harris,JAC,RB,00-0028409
2011,reg,Dustin Keller,D.Keller,NYJ,TE,00-0026170
2011,reg,Dwayne Bowe,D.Bowe,KC,WR,00-0025410
2011,reg,Earl Bennett,E.Bennett,CHI,WR,00-0026210
2011,reg,Early Doucet,E.Doucet,ARI,WR,00-0026221
2011,reg,Earnest Graham,E.Graham,TB,RB,00-0021755
2011,reg,Ed Dickson,E.Dickson,BAL,TE,00-0027675
2011,reg,Eddie Royal,E.Royal,DEN,WR,00-0026182
2011,reg,Eli Manning,E.Manning,NYG,QB,00-0022803
2011,reg,Emmanuel Arceneaux,E.Arceneaux,MIN,WR,00-0027920
2011,reg,Emmanuel Sanders,E.Sanders,PIT,WR,00-0027685
2011,reg,Eric Decker,E.Decker,DEN,WR,00-0027690
2011,reg,Eric Weems,E.Weems,ATL,WR,00-0024535
2011,reg,Evan Moore,E.Moore,CLE,TE,00-0026123
2011,reg,Evan Royster,E.Royster,WAS,RB,00-0028115
2011,reg,Felix Jones,F.Jones,DAL,RB,00-0026162
2011,reg,Frank Gore,F.Gore,SF,RB,00-0023500
2011,reg,Fred Davis,F.Davis,WAS,TE,00-0026188
2011,reg,Fred Jackson,F.Jackson,BUF,RB,00-0024204
2011,reg,Garrett Graham,G.Graham,HOU,TE,00-0027718
2011,reg,Golden Tate,G.Tate,SEA,WR,00-0027891
2011,reg,Greg Camarillo,G.Camarillo,MIN,WR,00-0023408
2011,reg,Greg Jennings,G.Jennings,GB,WR,00-0024267
2011,reg,Greg Jones,G.Jones,JAC,FB,00-0022897
2011,reg,Greg Little,G.Little,CLE,WR,00-0027997
2011,reg,Greg Olsen,G.Olsen,CAR,TE,00-0025418
2011,reg,Greg Salas,G.Salas,STL,WR,00-0028050
2011,reg,Hakeem Nicks,H.Nicks,NYG,WR,00-0027005
2011,reg,Harry Douglas,H.Douglas,ATL,WR,00-0026224
2011,reg,Heath Miller,H.Miller,PIT,TE,00-0023465
2011,reg,Hines Ward,H.Ward,PIT,WR,00-0017162
2011,reg,Isaac Redman,I.Redman,PIT,RB,00-0026566
2011,reg,J.P. Losman,J.Losman,MIA,QB,00-0022912
2011,reg,Jabar Gaffney,J.Gaffney,WAS,WR,00-0021163
2011,reg,Jackie Battle,J.Battle,KC,RB,00-0025701
2011,reg,Jacob Hester,J.Hester,SD,FB,00-0026209
2011,reg,Jacob Tamme,J.Tamme,IND,TE,00-0026267
2011,reg,Jacoby Ford,J.Ford,OAK,WR,00-0027709
2011,reg,Jacoby Jones,J.Jones,HOU,WR,00-0025460
2011,reg,Jacquizz Rodgers,J.Rodgers,ATL,RB,00-0028083
2011,reg,Jahvid Best,J.Best,DET,RB,00-0027880
2011,reg,Jake Ballard,J.Ballard,NYG,TE,00-0027259
2011,reg,Jake Delhomme,J.Delhomme,HOU,QB,00-0004161
2011,reg,Jake Locker,J.Locker,TEN,QB,00-0027946
2011,reg,Jake O'Connell,J.O'Connell,KC,TE,00-0027154
2011,reg,Jamaal Charles,J.Charles,KC,RB,00-0026213
2011,reg,James Casey,J.Casey,HOU,TE,00-0027109
2011,reg,James Jones,J.Jones,GB,WR,00-0025465
2011,reg,James Starks,J.Starks,GB,RB,00-0027791
2011,reg,Jamie Harper,J.Harper,TEN,RB,00-0028068
2011,reg,Jared Cook,J.Cook,TEN,TE,00-0027061
2011,reg,Jarett Dillard,J.Dillard,JAC,WR,00-0027105
2011,reg,Jason Avant,J.Avant,PHI,WR,00-0024324
2011,reg,Jason Campbell,J.Campbell,OAK,QB,00-0023460
2011,reg,Jason Hill,J.Hill,JAC,WR,00-0025463
2011,reg,Jason Snelling,J.Snelling,ATL,RB,00-0025631
2011,reg,Jason Witten,J.Witten,DAL,TE,00-0022127
2011,reg,Javon Ringer,J.Ringer,TEN,RB,00-0027120
2011,reg,Jay Cutler,J.Cutler,CHI,QB,00-0024226
2011,reg,Jed Collins,J.Collins,NO,FB,00-0026072
2011,reg,Jeff Cumberland,J.Cumberland,NYJ,TE,00-0027321
2011,reg,Jeff King,J.King,ARI,TE,00-0024369
2011,reg,Jeff Maehl,J.Maehl,HOU,WR,00-0028543
2011,reg,Jeremiah Johnson,J.Johnson,DEN,RB,00-0026799
2011,reg,Jeremy Horne,J.Horne,KC,WR,00-0027308
2011,reg,Jeremy Kerley,J.Kerley,NYJ,WR,00-0028091
2011,reg,Jeremy Maclin,J.Maclin,PHI,WR,00-0026995
2011,reg,Jeremy Shockey,J.Shockey,CAR,TE,00-0021148
2011,reg,Jerheme Urban,J.Urban,KC,WR,00-0021647
2011,reg,Jerious Norwood,J.Norwood,STL,RB,00-0024294
2011,reg,Jermaine Gresham,J.Gresham,CIN,TE,00-0027873
2011,reg,Jermichael Finley,J.Finley,GB,TE,00-0026231
2011,reg,Jerome Harrison,J.Harrison,DET,RB,00-0024359
2011,reg,Jerome Simpson,J.Simpson,CIN,WR,00-0026186
2011,reg,Jeron Mastrud,J.Mastrud,MIA,TE,00-0027445
2011,reg,Jerrel Jernigan,J.Jernigan,NYG,WR,00-0028021
2011,reg,Jerricho Cotchery,J.Cotchery,PIT,WR,00-0022811
2011,reg,Jesse Holley,J.Holley,DAL,WR,00-0024609
2011,reg,Jim Dray,J.Dray,ARI,TE,00-0027825
2011,reg,Jimmy Graham,J.Graham,NO,TE,00-0027696
2011,reg,Jimmy Kleinsasser,J.Kleinsasser,MIN,TE,00-0009323
2011,reg,Joe Flacco,J.Flacco,BAL,QB,00-0026158
2011,reg,Joe Hastings,J.Hastings,SF,WR,00-0028242
2011,reg,Joe McKnight,J.McKnight,NYJ,RB,00-0027712
2011,reg,Joe Webb,J.Webb,MIN,QB,00-0027796
2011,reg,Joel Dreessen,J.Dreessen,HOU,TE,00-0023630
2011,reg,John Beck,J.Beck,WAS,QB,00-0025427
